Name, Lat, Lon
2018 Uncertain 27,47.96462317,-125.4982627
2018 Uncertain 28,47.96387165,-125.4978797
2018 Uncertain 29,47.96262716,-125.4972697
2018 Uncertain 30,47.96168074,-125.496802
2018 Uncertain 31,47.9613534,-125.49664
2018 Uncertain 32,47.93065489,-125.5405083
2018 Uncertain 33,47.75483333,-125.063
2018 Uncertain 34,47.76179527,-124.9998928
2018 Uncertain 35,47.25790833,-124.6526559
2018 Uncertain 36,46.6114121,-124.1899121
2018 Uncertain 37,46.60784347,-124.1886667
2018 Uncertain 38,46.60761522,-124.1886152
2018 Uncertain 39,46.58431985,-124.5464318
2018 Uncertain 40,46.25049751,-124.5317214
2018 Uncertain 41,46.25074084,-124.5377446
2018 Uncertain 42,46.25,-124.5200073
2018 Uncertain 43,46.25,-124.5170013
2018 Uncertain 44,46.75043828,-124.7302889
2018 Uncertain 45,46.67794929,-124.7292959
2018 Uncertain 46,46.67844231,-124.7302756
